"Disease","Fiscal Year","Gender","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease","Hospitalization with Disease: Person Count","Hospitalization with Disease: Separation Count","Hospitalization with Disease: Days Stay","Hospitalization without Disease: Person Count","Hospitalization without Disease: Separation Count","Hospitalization without Disease: Days Stay","Physician Visit with Disease: Person Count","Physician Visit with Disease: Visit Count","Physician Visit without Disease: Person Count","Physician Visit without Disease: Visit Count","General Physician Visit with Disease: Person Count","General Physician Visit with Disease: Visit Count","General Physician Visit without Disease: Person Count","General Physician Visit without Disease: Visit Count","Specialist Visit with Disease: Person Count","Specialist Visit with Disease: Visit Count","Specialist Visit without Disease: Person Count","Specialist Visit without Disease: Visit Count"
Diabetes,2000,F,5 to 9,1020696,366,1632,0,102,420,552,1890,18126,22062,64074,1584,14694,633222,2824032,1320,5958,579564,2066460,1410,8736,265434,755466
Diabetes,2000,F,10 to 14,1034814,480,2814,6,144,576,894,3966,17532,22440,93576,2724,28074,609774,2555562,2268,10644,566862,1868820,2424,17418,250122,685014
Diabetes,2000,F,15 to 19,1039128,486,4080,6,294,792,1470,8532,46818,60906,246120,3966,47646,672450,4105530,3666,24846,650196,3151902,3324,22734,294684,951174
Diabetes,2000,F,20 to 24,1033386,900,5682,18,306,1092,1824,10848,86982,110184,355764,5460,76056,676524,5161092,5256,43530,661950,3880872,4284,32508,337422,1277382
Diabetes,2000,F,25 to 29,1062774,1536,8790,30,354,1776,2928,17040,130998,158724,509130,8466,128454,710724,6192402,8172,74082,693570,4362294,6636,54378,400728,1827276
Diabetes,2000,F,30 to 34,1164900,2346,13440,36,462,2526,4038,24900,133866,159876,549654,12984,201258,770988,6908652,12582,118656,750054,4700484,10170,82560,455412,2205240
Diabetes,2000,F,35 to 39,1381908,3636,21444,60,870,3264,5322,35652,98430,121224,532650,20754,312924,889644,7475874,20100,190902,864918,5122932,16086,121920,519648,2349972
Diabetes,2000,F,40 to 44,1352088,4902,30048,120,1242,3954,6528,54594,65994,84828,458298,29196,441432,852630,7061940,28356,277566,826728,4823208,22716,163752,519930,2236242
Diabetes,2000,F,45 to 49,1201998,6432,40848,246,1740,5370,8838,70350,56784,74592,467238,39822,615858,754182,6658116,38808,384510,729078,4436286,31638,231204,492180,2219592
Diabetes,2000,F,50 to 54,1057824,8430,55914,480,2520,7806,12828,103530,53802,71754,450276,54756,869616,662874,6385824,53370,529356,641040,4160442,44706,339960,464454,2223546
Diabetes,2000,F,55 to 59,802278,8130,60162,684,2826,8754,14742,136404,45534,62604,420096,58902,955416,484818,4904520,57342,574914,469164,3157098,48756,380244,348678,1745772
Diabetes,2000,F,60 to 64,655764,7824,66318,1038,3504,10722,18306,170262,43326,61140,447798,65022,1084392,394212,4256532,63396,647064,382110,2726958,53982,436884,290652,1527858
Diabetes,2000,F,65 to 69,601956,8634,76302,1788,4854,14442,24714,251412,48648,70128,566376,74892,1337964,354126,4211406,72942,782796,344448,2687268,63270,554754,268332,1522692
Diabetes,2000,F,70 to 74,556476,8184,81240,2874,7188,17850,30876,345552,56256,83286,777294,79644,1495422,326412,4312404,77520,883938,317886,2739600,67404,611388,252630,1571532
Diabetes,2000,F,75 to 79,482094,7248,74244,4074,10632,19830,34824,425574,62916,95184,1012830,72726,1474656,289170,4317072,70866,902088,281826,2789658,61392,572280,227526,1526676
Diabetes,2000,F,80 to 84,325398,4656,48450,4206,12894,15204,26136,343902,54174,82350,999252,47136,1000620,199740,3239772,45990,651672,194958,2206836,38634,348828,153732,1032576
Diabetes,2000,F,85+,310230,4014,39258,6498,32106,13992,22746,332148,64050,95700,1447104,37698,827436,195198,3457962,36762,598944,191082,2628354,28284,228384,134964,828762
Diabetes,2000,M,1 to 4,753552,258,594,0,186,246,396,1626,35274,44868,123954,582,7788,529812,3588708,522,2958,487368,2525616,534,4830,272400,1060398
Diabetes,2000,M,5 to 9,1073178,360,1788,0,168,378,510,1938,23532,28410,87960,1734,16548,672840,3174162,1494,6888,611946,2201664,1542,9648,316590,970422
Diabetes,2000,M,10 to 14,1087056,534,3006,0,186,576,804,3414,20448,25266,99936,2898,27120,641064,2738334,2364,9768,588528,1886664,2586,17352,292596,849930
Diabetes,2000,M,15 to 19,1095984,462,4326,12,630,678,1086,5286,26538,33348,174762,4098,34368,612786,2632020,3540,15738,578976,1887678,3354,18618,256818,743028
Diabetes,2000,M,20 to 24,1064364,624,5064,12,804,672,1068,7230,24996,31824,212244,4602,40422,532290,2361414,4242,22860,510402,1744374,3240,17562,212268,615606
Diabetes,2000,M,25 to 29,1067790,1122,7146,36,738,792,1284,9858,24342,31590,215880,6504,63180,536406,2583738,6054,36990,513552,1883940,4554,26148,228498,698256
Diabetes,2000,M,30 to 34,1172256,2142,12144,54,972,1344,2256,17958,28698,37368,237966,11232,122448,606606,3261576,10626,73314,580680,2347332,7962,49098,280398,912588
Diabetes,2000,M,35 to 39,1395072,3948,21918,108,1494,2364,3966,29022,38652,51006,321492,20508,236754,732858,4301622,19500,144372,701898,3056874,14454,92316,360288,1242876
Diabetes,2000,M,40 to 44,1355400,6132,34746,198,2070,3708,6144,47394,43182,58530,371700,32844,387642,716388,4484262,31518,242496,685350,3128250,23112,145056,370728,1354080
Diabetes,2000,M,45 to 49,1196334,8634,52092,420,2694,6018,10080,83676,44292,60798,393498,49464,608220,637710,4304874,47568,369210,609486,2930130,35394,238836,349716,1373292
Diabetes,2000,M,50 to 54,1058136,11556,75846,690,3738,9684,16170,129138,48210,67140,442116,72576,929712,571758,4232358,69960,555768,546732,2792322,53520,373746,336900,1438722
Diabetes,2000,M,55 to 59,798444,11244,83190,1284,4332,12114,20058,174828,45738,65664,444912,80214,1103862,427848,3569376,77328,640500,409176,2295750,61266,463206,272448,1272198
Diabetes,2000,M,60 to 64,632070,10824,86532,1974,5478,14766,25128,226866,46470,68256,506898,84150,1277928,346266,3315084,81186,724944,332178,2088696,67038,552744,236100,1224696
Diabetes,2000,M,65 to 69,560340,10548,91728,3048,7752,18612,32184,309588,53538,81060,659634,89742,1520844,310470,3488484,86868,858276,299310,2161614,73788,662238,225414,1325496
Diabetes,2000,M,70 to 74,471174,8862,86010,4350,10566,21240,37722,391464,57444,89742,785382,84330,1592244,265536,3499524,81852,896364,256824,2143404,71448,695724,202824,1354884
Diabetes,2000,M,75 to 79,345024,6234,64668,5094,12594,19170,34524,389988,53592,85392,826386,63318,1339224,200766,3087054,61572,770580,194970,1905108,54270,568554,159318,1180914
Diabetes,2000,M,80 to 84,196566,3366,35250,4242,12228,12360,22038,282510,38658,62244,701112,34470,769404,118764,2021160,33594,469782,115518,1301310,29088,299568,94272,719244
Diabetes,2000,M,85+,136632,2088,20604,4068,16992,8256,14202,190596,33528,53118,707076,19878,451896,85038,1543788,19380,301644,82908,1083012,15822,150186,63420,460332
Diabetes,2001,F,1 to 4,702678,210,486,0,156,204,282,1110,25740,32010,90168,480,6486,489036,2946834,426,2484,445920,2101518,438,3996,233412,842892
Diabetes,2001,F,5 to 9,1006416,342,1782,0,102,360,522,2130,17100,20670,58278,1710,15216,616692,2639190,1452,6246,559812,1905504,1506,8970,260718,731502
Diabetes,2001,F,10 to 14,1050642,444,2958,6,114,582,948,4176,16242,20802,89160,2856,27390,605742,2464914,2346,10158,560418,1784694,2550,17232,249516,678276
Diabetes,2001,F,15 to 19,1047468,552,4278,12,294,804,1572,7848,43686,56400,230418,4128,47700,673752,3977814,3768,24972,650178,3036222,3426,22566,293658,939342
Diabetes,2001,F,20 to 24,1050768,954,6174,18,294,1158,1944,10392,83904,105570,350574,5946,79566,680370,5076042,5718,47700,665076,3791796,4578,31848,337566,1281174
Diabetes,2001,F,25 to 29,1058058,1650,9546,18,324,1782,2874,17406,129234,154926,495486,9144,137310,701106,6031254,8832,79518,683706,4208316,7110,57738,395904,1819974
Diabetes,2001,F,30 to 34,1160466,2550,14748,36,504,2610,4104,25638,135024,159558,551706,14226,218688,765642,6801924,13728,129870,744222,4574718,11004,88710,453816,2223738
Diabetes,2001,F,35 to 39,1357746,3990,23538,72,870,3372,5430,37500,93846,114372,490374,22698,337764,867516,7177080,21984,206766,842376,4882884,17544,130878,508158,2290806
Diabetes,2001,F,40 to 44,1379316,5406,33402,144,1302,4194,6714,49314,63456,81198,461700,32358,471498,864192,7037208,31410,298242,837186,4785156,25014,173112,529200,2249034
Diabetes,2001,F,45 to 49,1238772,6960,45108,246,1842,5604,9126,74004,54228,70974,436836,43914,665520,774222,6714744,42774,415932,748236,4460874,34776,249348,506940,2251524
Diabetes,2001,F,50 to 54,1090986,8676,61068,468,2400,7674,12456,108618,51084,67848,434142,59766,923892,679932,6398334,58170,562962,657684,4155348,48612,360546,475992,2240718
Diabetes,2001,F,55 to 59,847194,8610,67428,738,2886,9222,15300,136722,44868,61368,435432,66000,1037088,510282,5089584,64236,624702,493578,3258786,54474,412122,369000,1829160
Diabetes,2001,F,60 to 64,675570,8286,71958,1104,3414,11184,18912,181020,42372,59118,436218,70458,1152978,402660,4288674,68640,682998,390534,2736402,58734,469416,297666,1550448
Diabetes,2001,F,65 to 69,602682,8562,80922,1878,4812,14490,24732,254082,46272,66540,546906,79350,1390230,351852,4144866,77268,811482,342456,2632470,67008,578394,267954,1510956
Diabetes,2001,F,70 to 74,560700,8124,86628,2964,7170,18246,31314,342684,54114,80070,745200,84774,1570380,324438,4267356,82512,924612,316128,2706318,71622,645600,252828,1559448
Diabetes,2001,F,75 to 79,488208,7152,80064,4272,10278,20436,35346,440082,60420,91140,970218,78246,1564428,288270,4278828,76308,951288,281328,2762520,66174,612858,228162,1515228
Diabetes,2001,F,80 to 84,342354,4674,54300,4548,13308,16266,27522,378600,54612,83442,1056552,52692,1098522,207870,3378138,51390,720450,203226,2306052,43314,377964,161082,1071540
Diabetes,2001,F,85+,322050,4068,43596,6966,32274,15006,24516,350538,64398,96594,1379892,41592,915426,199686,3562662,40578,666132,195582,2708412,31326,249162,138900,853404
Diabetes,2001,M,1 to 4,738438,222,582,0,210,228,348,1464,34176,43080,117516,570,7512,518592,3400770,504,2910,473682,2352726,516,4590,271686,1045140
Diabetes,2001,M,5 to 9,1058016,354,1908,0,120,396,558,2316,21912,26604,80940,1842,16332,655956,2976564,1590,6558,591372,2037492,1590,9774,310980,937104
Diabetes,2001,M,10 to 14,1103532,492,3204,0,198,600,828,3366,19866,24372,94692,3078,27792,639684,2666088,2514,10338,583932,1820052,2754,17448,294930,844278
Diabetes,2001,M,15 to 19,1106436,486,4548,12,666,702,1140,6150,25170,31710,174516,4278,36876,609504,2553828,3690,16470,572670,1801740,3522,20406,261258,750702
Diabetes,2001,M,20 to 24,1081830,612,5406,24,864,648,1044,6486,23820,30306,216804,4866,38658,527676,2301810,4416,22248,503376,1673982,3432,16398,215922,626310
Diabetes,2001,M,25 to 29,1064904,1176,7596,24,786,816,1272,8766,22782,29574,205608,6876,65250,522888,2493774,6390,38064,498864,1799958,4854,27150,227064,692358
Diabetes,2001,M,30 to 34,1167846,2442,13146,60,978,1380,2184,18408,26622,34794,231090,12120,128646,596976,3154932,11436,77814,569550,2256678,8466,50796,279144,896574
Diabetes,2001,M,35 to 39,1372710,4236,23772,96,1476,2250,3780,31170,35208,46650,318678,22146,246690,710880,4112178,21042,152250,678918,2901516,15570,94344,352992,1208580
Diabetes,2001,M,40 to 44,1385088,6774,38160,192,2112,3840,6408,50850,40980,55206,375834,35814,418326,722466,4466490,34338,260526,690108,3103152,25314,157644,377430,1361538
Diabetes,2001,M,45 to 49,1233588,9408,57174,450,2802,6060,9930,80586,42678,58452,388176,54168,650898,651528,4338564,52050,397338,621618,2944014,38568,253164,359190,1393020
Diabetes,2001,M,50 to 54,1089576,12186,82860,888,3654,9900,16326,135660,46410,65010,428118,79170,988074,583254,4256616,76374,592524,556932,2803110,58056,395322,344934,1451862
Diabetes,2001,M,55 to 59,843264,12012,92934,1428,4380,12690,21030,176214,45708,64932,441048,89556,1199154,448446,3670200,86340,696396,428658,2357238,68088,502542,285450,1311342
Diabetes,2001,M,60 to 64,651924,10986,94776,2010,5532,15558,25752,237342,45486,66342,495576,92028,1362024,351960,3317772,88902,775284,337506,2085504,73020,586404,239796,1230840
Diabetes,2001,M,65 to 69,562104,10512,98154,3138,7392,18750,32328,325164,50292,75738,595230,95862,1587192,306738,3386928,92826,897204,295986,2096688,78606,689502,222774,1288554
Diabetes,2001,M,70 to 74,481290,8958,93348,4530,10134,21948,38490,401046,54816,85224,746322,91332,1693926,266994,3478512,88674,956448,258486,2126844,77052,737370,204090,1350354
Diabetes,2001,M,75 to 79,354270,6432,70986,5220,12354,20244,35514,412734,52152,82668,805362,69318,1442688,201684,3081072,67512,830964,196044,1893522,59358,611604,160728,1186332
Diabetes,2001,M,80 to 84,208320,3510,40026,4608,12210,13314,23508,292560,38550,61380,694926,38988,858432,123528,2104824,38010,525384,120390,1354116,33084,332886,98688,750084
Diabetes,2001,M,85+,142566,2142,22860,4440,17172,8976,15156,202290,33930,53664,695028,21936,505098,87114,1593444,21384,337638,85074,1116168,17784,167424,65568,476886
Diabetes,2002,F,1 to 4,693774,180,480,6,138,174,270,1152,25086,31050,90210,474,5796,483174,2894172,420,2220,438474,2052492,420,3576,232434,839358
Diabetes,2002,F,5 to 9,987774,342,1800,0,96,372,486,2484,16182,19452,55698,1716,15270,601752,2536410,1440,6192,543750,1817610,1518,9066,256500,716694
Diabetes,2002,F,10 to 14,1065570,456,3204,0,126,600,906,4050,15894,20316,87768,3078,28926,607296,2443938,2520,10884,560220,1757526,2742,18036,251400,684138
Diabetes,2002,F,15 to 19,1053030,570,4506,12,270,882,1620,9270,40998,52752,223968,4350,51144,677622,3973434,3942,25752,653664,3023466,3624,25236,295128,947382
Diabetes,2002,F,20 to 24,1066032,984,6708,12,312,1164,1896,10272,81624,102054,342480,6444,83976,689016,5094126,6180,50430,673692,3795636,4992,33516,340716,1295178
Diabetes,2002,F,25 to 29,1065342,1710,10308,30,312,1980,3102,19710,125988,150630,481920,9864,147780,700206,6033300,9522,84198,682500,4181298,7674,63558,396996,1848900
Diabetes,2002,F,30 to 34,1155510,2652,16068,42,450,2772,4248,26424,132888,156420,537606,15456,233160,760992,6812646,14946,137796,739764,4553460,11928,95292,454758,2255238
Diabetes,2002,F,35 to 39,1325088,4086,25470,84,810,3552,5628,40164,90402,109398,464598,24498,363426,842364,7005522,23712,222486,818220,4736520,18732,140796,497754,2265846
Diabetes,2002,F,40 to 44,1398768,5742,36846,150,1296,4356,7098,58290,62478,79272,451998,35568,517092,875922,7134246,34452,325644,848856,4830414,27408,191214,540744,2300586
Diabetes,2002,F,45 to 49,1279218,7338,49566,270,1908,5730,9240,77304,54582,70950,434760,48162,712524,796572,6869022,46932,444636,770412,4560252,38076,267516,523446,2305848
Diabetes,2002,F,50 to 54,1103670,9168,65202,516,2394,7824,12744,108570,50178,66324,446010,63618,968730,682356,6399150,61890,589962,659622,4144716,51744,378366,478914,2251962
Diabetes,2002,F,55 to 59,911838,9594,76806,816,3036,10050,16296,153858,46038,62130,432084,75048,1162020,549396,5467254,73056,697842,531870,3499272,61794,463770,398250,1966212
Diabetes,2002,F,60 to 64,701646,8856,78522,1212,3642,11556,19422,188796,42162,58296,431724,76842,1248384,414780,4424886,74730,737328,402360,2819202,64158,510570,308448,1603932
Diabetes,2002,F,65 to 69,604344,8664,85470,1896,4740,14670,24810,255462,44244,63270,519318,83688,1442130,351426,4146984,81474,844914,342036,2625678,70632,596646,269106,1519866
Diabetes,2002,F,70 to 74,564144,8376,92118,2940,6882,18546,30948,348840,51444,74928,686892,90060,1646436,322284,4245000,87684,968358,314202,2686884,76284,677880,252174,1556304
Diabetes,2002,F,75 to 79,490110,7374,85530,4356,10338,20880,35694,430362,57966,85734,891528,83394,1659846,284466,4246338,81270,1007088,277782,2744064,70716,652506,226188,1501266
Diabetes,2002,F,80 to 84,360774,4950,61038,5052,13380,17490,29028,382128,54942,82530,1000044,59082,1230648,216270,3538410,57588,804906,211422,2407884,48660,425556,168432,1129854
Diabetes,2002,F,85+,333936,4062,47970,7896,32958,15804,25254,362112,64476,95286,1386048,45534,996702,203910,3691398,44298,726708,199902,2813430,34086,269886,142830,877152
Diabetes,2002,M,1 to 4,728388,222,570,0,174,228,312,1128,33408,42186,116394,552,6732,511560,3337590,486,2718,465366,2294280,510,3990,269946,1040658
Diabetes,2002,M,5 to 9,1040466,354,2004,6,144,390,522,1860,21294,25500,75912,1914,16020,641514,2862312,1614,6606,575190,1938186,1638,9414,306990,921984
Diabetes,2002,M,10 to 14,1119618,516,3414,0,198,576,786,3432,19170,23526,97248,3288,28380,641676,2654622,2682,10818,583746,1798926,2910,17556,297552,853836
Diabetes,2002,M,15 to 19,1111818,552,4920,12,642,738,1260,7218,24270,30384,175026,4632,39366,611094,2548506,4002,17928,573270,1787718,3780,21432,264162,759276
Diabetes,2002,M,20 to 24,1097952,642,5772,18,756,654,1098,7848,23286,29628,220296,5160,42000,531822,2321652,4686,23640,506712,1679778,3588,18342,219216,640188
Diabetes,2002,M,25 to 29,1070382,1152,7926,24,768,822,1278,12792,22008,28398,218376,7128,65370,519786,2493702,6648,38778,495432,1788672,4914,26550,228036,703530
Diabetes,2002,M,30 to 34,1163454,2346,14016,66,918,1428,2298,20748,25668,33510,236034,12882,134898,593040,3137958,12180,82518,565644,2237208,8862,52356,279186,898824
Diabetes,2002,M,35 to 39,1340220,4362,25362,108,1386,2400,3948,36528,32964,43140,315318,23520,259740,689010,3994872,22398,160806,658020,2812836,16374,98814,344760,1180098
Diabetes,2002,M,40 to 44,1406418,7128,41526,240,2088,4056,6588,58056,39762,53124,396282,38934,446442,730800,4530408,37338,279024,698178,3141726,27138,167298,383808,1386444
Diabetes,2002,M,45 to 49,1275498,9864,62478,462,2874,6456,10692,95610,42498,57942,393810,59028,698646,669240,4462620,56742,428010,638754,3032190,41856,270336,370320,1428222
Diabetes,2002,M,50 to 54,1100064,12414,87450,858,3750,10026,16548,139200,44958,63030,450762,83328,1027482,583302,4261092,80280,616848,557244,2812182,60762,410238,345312,1447356
Diabetes,2002,M,55 to 59,906624,13086,105168,1446,4638,13746,22824,204462,46704,65886,462660,101232,1347768,480666,3915846,97572,779940,459738,2517504,76728,567378,305844,1396500
Diabetes,2002,M,60 to 64,680580,11658,104238,2160,5490,15984,26280,243126,45072,65130,482892,101046,1465098,361986,3395016,97644,834390,347364,2133174,79422,630342,246246,1260252
Diabetes,2002,M,65 to 69,564042,10470,104898,3156,7236,19296,32664,322410,47772,70986,573402,102366,1664916,304332,3346980,99144,939756,293484,2065380,83880,724674,221478,1279884
Diabetes,2002,M,70 to 74,490530,8994,100470,4674,9792,22500,38718,401766,52788,80664,720570,98154,1802364,266718,3461754,95322,1017282,258240,2112516,82662,784788,204084,1347564
Diabetes,2002,M,75 to 79,362484,6624,77310,5652,12012,21078,36738,419064,50160,78048,781356,75456,1556136,202032,3087906,73368,894066,196494,1902408,64704,662004,161172,1184358
Diabetes,2002,M,80 to 84,222096,3486,45084,4836,12456,14454,25008,315348,39174,61794,675264,43788,961638,129480,2233632,42648,586494,126228,1433430,37308,374994,103860,799188
Diabetes,2002,M,85+,148452,2106,25206,4866,17268,9594,16212,221904,33684,52332,666870,24132,555654,88896,1659762,23520,374550,86784,1165638,19476,181062,67308,493638
Diabetes,2003,F,1 to 4,686298,204,468,0,126,192,282,1260,24180,30096,90468,462,5676,479778,2853636,414,2322,435474,2032626,420,3354,230514,818592
Diabetes,2003,F,5 to 9,970602,342,1860,0,66,360,444,1494,15078,18342,53292,1782,14940,592644,2458818,1500,6162,534804,1767666,1572,8766,250740,689244
Diabetes,2003,F,10 to 14,1074954,510,3450,0,114,600,924,4236,15228,19620,85542,3294,30846,604908,2382372,2658,11412,557040,1713030,2946,19416,248088,667296
Diabetes,2003,F,15 to 19,1058472,552,4734,18,264,822,1452,7398,40764,52620,219966,4548,50424,680334,3958926,4110,26040,656310,3024990,3732,24312,293028,931020
Diabetes,2003,F,20 to 24,1084092,972,7146,24,312,1200,2088,11982,81108,100962,338844,6876,89544,702984,5159112,6636,54726,687642,3861906,5274,34782,342480,1293912
Diabetes,2003,F,25 to 29,1074894,1650,10878,24,318,2040,3222,17868,127800,152310,475614,10374,153576,700896,6029148,10008,90612,683622,4186542,7980,62910,395022,1839804
Diabetes,2003,F,30 to 34,1150668,2706,17334,42,468,2940,4380,25464,135198,159204,529140,16626,249942,756612,6783828,16086,149256,735648,4519398,12774,100650,450642,2260746
Diabetes,2003,F,35 to 39,1284012,3978,26922,84,738,3594,5502,39312,89778,107832,439824,25860,374430,813648,6745296,25068,234762,790530,4576200,19404,139494,477600,2165868
